DBMS,Rank_Feb-2023,Rank_Jan-2023,Rank_Feb-2022,Database Model,Score_Feb-2023,Score_Jan-2023,Score_Feb-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Ignite,78.0,71.0,63.0,Multi-model,5.5,-0.40,-1.00,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,,Open Source,Apache 2.0,no
ArangoDB,79.0,80.0,73.0,Multi-model,5.29,+0.22,-0.11,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,,Open Source,Apache Version 2; Commercial license (Enterprise) available,no
Riak KV,80.0,79.0,60.0,Key-value,5.14,-0.10,-1.78,https://db-engines.com/en/system/Riak+KV,,Basho Technologies,"Distributed, fault tolerant key-value store",2009.0,,Open Source,"Apache version 2, commercial enterprise edition",no
Adabas,81.0,82.0,78.0,Multivalue,5.13,+0.35,+0.08,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no
Apache Jena - TDB,82.0,87.0,108.0,RDF,5.09,+0.60,+2.19,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,,Open Source,"Apache License, Version 2.0",no
HyperSQL,83.0,81.0,69.0,Relational,4.92,-0.08,-0.83,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,,Open Source,based on BSD license,no
Trino,84.0,84.0,109.0,"Relational, Multi-model",4.8,+0.24,+1.92,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no
OrientDB,85.0,89.0,79.0,Multi-model,4.54,+0.06,-0.49,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,,Open Source,Apache version 2,no
"UniData,UniVerse",86.0,93.0,88.0,Multivalue,4.54,+0.22,+0.65,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no
GemFire,87.0,92.0,,Key-value,4.52,+0.17,,https://db-engines.com/en/system/GemFire,,"Pivotal, VMware","Ultra-high speed, in-memory data and compute grid",,,commercial,,no
TimescaleDB,88.0,85.0,82.0,"Time Series, Multi-model",4.51,-0.03,+0.13,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,,Open Source,Apache 2.0,no
SAP IQ,89.0,83.0,77.0,Relational,4.51,-0.08,-0.61,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,,commercial,,no
OpenEdge,90.0,94.0,81.0,Relational,4.49,+0.21,-0.18,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,,commercial,,no
RocksDB,91.0,88.0,89.0,Key-value,4.47,-0.02,+0.58,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,,Open Source,BSD,no
Google Cloud Spanner,92.0,91.0,92.0,Relational,4.38,-0.02,+0.69,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes
YugabyteDB,93.0,86.0,117.0,"Relational, Multi-model",4.38,-0.13,+2.04,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,,Open Source,Apache 2.0,no
IBM Cloudant,94.0,90.0,85.0,Document,4.35,-0.06,+0.41,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes
RavenDB,95.0,95.0,91.0,"Document, Multi-model",4.21,-0.04,+0.39,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,,Open Source,"AGPL version 3, commercial license available",no
RethinkDB,96.0,98.0,102.0,"Document, Multi-model",3.85,+0.27,+0.78,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,,Open Source,Apache Version 2,no
Infinispan,97.0,99.0,100.0,Key-value,3.76,+0.19,+0.52,https://db-engines.com/en/system/Infinispan,,,,2009.0,,Open Source,Apache Version 2,no
Oracle NoSQL,98.0,96.0,80.0,Multi-model,3.7,-0.27,-1.15,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,,Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
LevelDB,99.0,97.0,99.0,Key-value,3.55,-0.10,+0.29,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,,Open Source,BSD,no
PouchDB,100.0,100.0,95.0,Document,3.52,+0.04,+0.05,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,,Open Source,,no
MaxDB,101.0,101.0,83.0,Relational,3.49,+0.03,-0.73,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10 (January 2020), 2020",commercial,Limited community edition free,no
Oracle Berkeley DB,102.0,103.0,101.0,Multi-model,3.24,-0.02,+0.13,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no
Apache Drill,103.0,104.0,104.0,Multi-model,3.19,-0.02,+0.15,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no
Percona Server for MySQL,104.0,105.0,111.0,Relational,3.17,-0.02,+0.62,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.28-20, 2022",Open Source,GPL version 2,no
Citus,105.0,108.0,142.0,"Relational, Multi-model",3.12,+0.10,+1.62,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no
CloudKit,106.0,114.0,113.0,Document,3.07,+0.27,+0.66,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes
EDB Postgres,107.0,115.0,116.0,"Relational, Multi-model",3.03,+0.27,+0.67,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no
TiDB,108.0,102.0,94.0,"Relational, Multi-model",3.01,-0.42,-0.50,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store","PingCAP, Inc.","TiDB is an open source distributed Hybrid Transactional/Analytical Processing (HTAP) database that supports,MySQL,and,Spark SQL,syntaxes.",2016.0,"6.6.0, February 2023",Open Source,Apache 2.0,no
InterSystems Caché,109.0,111.0,98.0,Multi-model,3.01,+0.18,-0.26,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,"Key-value store,Object oriented DBMS,Relational DBMS,Document store",InterSystems,A multi-model DBMS and application server,1997.0,"2018.1.4, May 2020",commercial,,no
RRDtool,110.0,116.0,114.0,Time Series,3.0,+0.30,+0.60,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no
SAP Advantage Database Server,111.0,109.0,87.0,Relational,2.98,-0.01,-0.95,https://db-engines.com/en/system/SAP+Advantage+Database+Server,,"Sybase, SAP","Low-cost,RDBMS,with access to ISAM and FoxPro data structures",1993.0,,commercial,,no
Apache Phoenix,112.0,106.0,97.0,Relational,2.97,-0.13,-0.35,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,"A scale-out RDBMS with evolutionary schema built on,Apache HBase",2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no
LMDB,113.0,122.0,112.0,Key-value,2.86,+0.29,+0.33,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.29, March 2021",Open Source,,no
DolphinDB,114.0,113.0,150.0,"Time Series, Multi-model",2.85,+0.05,+1.53,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no
Oracle Coherence,115.0,120.0,110.0,Key-value,2.83,+0.21,+0.16,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"12c, September 2016",commercial,,no
InterSystems IRIS,116.0,107.0,130.0,Multi-model,2.82,-0.23,+1.00,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2021.1, June 2021",commercial,,no
JanusGraph,117.0,119.0,115.0,Graph,2.79,+0.16,+0.44,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"0.6.1, January 2022",Open Source,Apache 2.0,no
Amazon SimpleDB,118.0,125.0,120.0,Key-value,2.74,+0.27,+0.56,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes
4D,119.0,118.0,103.0,Relational,2.74,+0.08,-0.33,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v18 R5, January 2021",commercial,,no
IMS,120.0,110.0,105.0,Navigational,2.74,-0.17,-0.28,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15, October 2017",commercial,,no
Amazon Neptune,121.0,112.0,106.0,Multi-model,2.73,-0.08,-0.26,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes
EXASOL,122.0,117.0,93.0,Relational,2.73,+0.02,-0.87,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no
HEAVY.AI,123.0,126.0,149.0,"Relational, Multi-model",2.68,+0.26,+1.33,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,,Open Source,Apache Version 2; enterprise edition available,no
Geode,124.0,128.0,131.0,Key-value,2.52,+0.18,+0.71,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,,Open Source,Apache Version 2; commercial licenses available as Gemfire,no
Apache Druid,125.0,129.0,96.0,Multi-model,2.49,+0.18,-0.91,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,,Open Source,Apache license v2,no
Amazon CloudSearch,126.0,123.0,118.0,Search engine,2.45,-0.09,+0.14,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes
GraphDB,127.0,124.0,107.0,Multi-model,2.44,-0.09,-0.49,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store",Ontotext,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,,commercial,Some plugins of GraphDB Workbench are open sourced,no
OpenTSDB,128.0,121.0,129.0,Time Series,2.44,-0.14,+0.61,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,"Scalable Time Series DBMS based on,HBase",2011.0,,Open Source,LGPL,no
GridGain,129.0,130.0,125.0,Multi-model,2.41,+0.10,+0.47,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on,Apache Ignite",2007.0,,commercial,,no
TDengine,130.0,137.0,210.0,"Time Series, Multi-model",2.4,+0.31,+1.70,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,,Open Source,"GPL V3, also commercial editions available",no
MonetDB,131.0,134.0,127.0,"Relational, Multi-model",2.38,+0.21,+0.52,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,,Open Source,Mozilla Public License 2.0,no
Coveo,132.0,131.0,128.0,Search engine,2.37,+0.11,+0.52,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes
Datomic,133.0,136.0,133.0,Relational,2.29,+0.19,+0.51,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,,commercial,limited edition free,no
VoltDB,134.0,127.0,138.0,Relational,2.29,-0.11,+0.60,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,,Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no
SpatiaLite,135.0,132.0,123.0,"Spatial DBMS, Multi-model",2.25,+0.02,+0.28,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,,Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no
Tibero,136.0,138.0,121.0,Relational,2.22,+0.15,+0.18,https://db-engines.com/en/system/Tibero,,TmaxSoft,"A secure RDBMS, designed for easy portability from Oracle",2003.0,,commercial,,no
TigerGraph,137.0,133.0,119.0,Graph,2.16,-0.04,-0.08,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no
TimesTen,138.0,140.0,132.0,Relational,2.14,+0.12,+0.33,https://db-engines.com/en/system/TimesTen,,"Oracle, TimesTen Performance Software, HP","In-Memory,RDBMS,compatible to Oracle",1998.0,,commercial,,no
Db4o,139.0,142.0,137.0,Object oriented,2.08,+0.12,+0.39,https://db-engines.com/en/system/Db4o,,,,2001.0,,Open Source,commercial license available for existing customers only,no
jBASE,140.0,145.0,126.0,Multivalue,2.06,+0.17,+0.14,https://db-engines.com/en/system/jBASE,,Zumasys,A robust multi-value DBMS comprising development tools and middleware,1991.0,,commercial,,no
IBM Db2 warehouse,141.0,135.0,124.0,Relational,2.04,-0.10,+0.10,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes
ObjectStore,142.0,147.0,143.0,Object oriented,2.04,+0.17,+0.57,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,,commercial,,no
DuckDB,143.0,153.0,275.0,Relational,2.01,+0.33,+1.74,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,,Open Source,MIT License,no
BaseX,144.0,143.0,139.0,Native XML,1.99,+0.08,+0.33,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,,Open Source,BSD license,no
OceanBase,145.0,159.0,,"Relational, Multi-model",1.98,+0.39,,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2011.0,,Open Source,Commercial license available,no
GridDB,146.0,139.0,145.0,"Time Series, Multi-model",1.97,-0.08,+0.53,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,,Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no
QuestDB,147.0,144.0,161.0,"Time Series, Multi-model",1.95,+0.05,+0.76,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Limited,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no
Amazon DocumentDB,148.0,141.0,135.0,Document,1.9,-0.09,+0.13,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes
Fauna,149.0,149.0,151.0,Multi-model,1.89,+0.12,+0.57,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes
SQLBase,150.0,154.0,156.0,Relational,1.89,+0.21,+0.59,https://db-engines.com/en/system/SQLBase,,,,1985.0,,commercial,,no
Tarantool,151.0,146.0,141.0,"Key-value, Multi-model",1.87,-0.01,+0.35,https://db-engines.com/en/system/Tarantool,"Key-value store,Document store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,,Open Source,BSD,no
Mnesia,152.0,152.0,140.0,Document,1.86,+0.18,+0.27,https://db-engines.com/en/system/Mnesia,,,,1999.0,,Open Source,proprietary license,no
Dgraph,153.0,148.0,136.0,Graph,1.86,+0.06,+0.14,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no
NebulaGraph,154.0,166.0,163.0,Graph,1.79,+0.28,+0.63,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no
LiteDB,155.0,157.0,167.0,Document,1.75,+0.14,+0.63,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no
Datameer,156.0,156.0,147.0,Document,1.74,+0.13,+0.34,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no
GBase,157.0,165.0,166.0,Relational,1.69,+0.17,+0.56,https://db-engines.com/en/system/GBase,,,An analytical database for business intelligence with large customers in China.,,,commercial,,no
Memgraph,158.0,178.0,259.0,Graph,1.68,+0.36,+1.30,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,commercial,Free license available,no
Actian NoSQL Database,159.0,160.0,153.0,Object oriented,1.67,+0.09,+0.35,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,,commercial,,no
Empress,160.0,164.0,164.0,Relational,1.65,+0.13,+0.50,https://db-engines.com/en/system/Empress,,,,1981.0,,commercial,,no
DataEase,161.0,169.0,172.0,Relational,1.64,+0.18,+0.57,https://db-engines.com/en/system/DataEase,,,,1981.0,,commercial,,no
Firebolt,162.0,,,Relational,1.64,,,https://db-engines.com/en/system/Firebolt,,,,2020.0,,commercial,,yes
Stardog,163.0,155.0,122.0,Multi-model,1.63,+0.01,-0.35,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",,,2010.0,,commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no
Apache Kylin,164.0,151.0,148.0,Relational,1.63,-0.07,+0.25,https://db-engines.com/en/system/Apache+Kylin,,,,2015.0,,Open Source,Apache Version 2.0,no
SQL.JS,165.0,176.0,165.0,Relational,1.62,+0.25,+0.48,https://db-engines.com/en/system/SQL.JS,,,,2012.0,,Open Source,,no
NonStop SQL,166.0,168.0,168.0,Relational,1.6,+0.12,+0.50,https://db-engines.com/en/system/NonStop+SQL,,,,1987.0,,commercial,,no
FoundationDB,167.0,150.0,157.0,Multi-model,1.6,-0.16,+0.31,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS",,,2013.0,,Open Source,Apache 2.0,no
Cubrid,168.0,172.0,158.0,Relational,1.59,+0.17,+0.34,https://db-engines.com/en/system/Cubrid,,,,2008.0,,Open Source,Apache Version 2.0,no
Giraph,169.0,163.0,154.0,Graph,1.59,+0.06,+0.28,https://db-engines.com/en/system/Giraph,,,,2013.0,,Open Source,Apache Version 2,no
ObjectBox,170.0,158.0,179.0,"Object oriented, Multi-model",1.57,-0.03,+0.63,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS",,,2017.0,,Open Source,Apache License 2.0,no
Oracle Rdb,171.0,161.0,160.0,Relational,1.53,-0.04,+0.33,https://db-engines.com/en/system/Oracle+Rdb,,,,1984.0,,commercial,,no
