DBMS,Rank_Nov-2024,Rank_Oct-2024,Rank_Nov-2023,Database Model,Score_Nov-2024,Score_Oct-2024,Score_Nov-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
EJDB,324.0,331.0,300.0,Document,0.16,+0.02,-0.23,https://db-engines.com/en/system/EJDB,,Softmotions,Embeddable document-store database library with JSON representation of queries (in MongoDB style),2012.0,,Open Source,GPLv2,no,2012,,Y,N
EsgynDB,325.0,326.0,320.0,Relational,0.15,+0.01,-0.13,https://db-engines.com/en/system/EsgynDB,,Esgyn,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",2015.0,,commercial,,no,2015,,N,N
TerminusDB,326.0,318.0,337.0,"Graph, Multi-model",0.15,-0.01,-0.09,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store",DataChemist Ltd.,"Scalable,Graph Database,platform making enterprise data available by exploiting inferred entities and relationships",2018.0,"11.0.0, January 2023",Open Source,GPL V3,no,2018,2023,Y,N
XTDB,327.0,327.0,354.0,Document,0.15,+0.01,-0.02,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,"1.19, September 2021",Open Source,MIT License,no,2019,2021,Y,N
XtremeData,328.0,328.0,361.0,Relational,0.14,+0.00,-0.01,https://db-engines.com/en/system/XtremeData,,,,,,commercial,limited edition free,no,,,N,N
ElevateDB,329.0,330.0,311.0,Relational,0.14,+0.00,-0.18,https://db-engines.com/en/system/ElevateDB,,"Elevate Software, Inc.",RDBMS designed to be included in a pre-packaged database application,2006.0,,commercial,,no,2006,,N,N
Jade,330.0,329.0,268.0,Object oriented,0.13,-0.01,-0.42,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no,1996,,N,N
Skytable,331.0,314.0,336.0,Key-value,0.13,-0.05,-0.12,https://db-engines.com/en/system/Skytable,,,"A free and open-source,Key-value Store,that aims to provide flexible data modeling at scale. Formerly also know as TerrabaseDB.",2020.0,,Open Source,GNU AGPL 3.0,no,2020,,Y,N
BigObject,332.0,332.0,345.0,Relational,0.13,0.00,-0.08,https://db-engines.com/en/system/BigObject,,"BigObject, Inc.",Analytic DBMS for real-time computations and queries,2015.0,,commercial,free community edition available,no,2015,,N,N
Quasardb,333.0,325.0,318.0,Time Series,0.13,-0.03,-0.16,https://db-engines.com/en/system/Quasardb,,quasardb,"Distributed, high-performance timeseries database",2009.0,"3.14.1, January 2024",commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no,2009,2024,N,N
RaptorDB,334.0,350.0,405.0,Document,0.12,+0.06,+0.12,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no,,,Y,N
Ultipa,335.0,335.0,329.0,Graph,0.11,0.00,-0.15,https://db-engines.com/en/system/Ultipa,,Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no,2019,,N,N
GreptimeDB,336.0,336.0,339.0,Time Series,0.11,0.00,-0.13,https://db-engines.com/en/system/GreptimeDB,,Greptime Inc.,"An open source,Time Series DBMS,built for increased scalability, high performance and efficiency",2022.0,,Open Source,Apache Version 2.0,no,2022,,Y,N
Tokyo Tyrant,337.0,338.0,335.0,Key-value,0.1,-0.01,-0.15,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no,2007,,Y,N
Sparksee,338.0,339.0,343.0,Graph,0.1,+0.01,-0.12,https://db-engines.com/en/system/Sparksee,,,,2008.0,"v6.0, 2021",commercial,,no,2008,2021,N,N
FalkorDB,339.0,347.0,,Graph,0.1,+0.03,,https://db-engines.com/en/system/FalkorDB,,FalkorDB Ltd,"A low latency Graph Database built for real-time graph query, knowledge retrieval and GraphRAG.",2023.0,,Open Source (SSPLv1),,no (FalkorDB is available as Falkor Cloud),2023,,open source (ssplv1),no (falkordb is available as falkor cloud)
GraphBase,340.0,334.0,334.0,Graph,0.1,-0.03,-0.15,https://db-engines.com/en/system/GraphBase,,,,,,commercial,,no,,,N,N
CubicWeb,341.0,337.0,332.0,RDF,0.09,-0.01,-0.16,https://db-engines.com/en/system/CubicWeb,,,,2001.0,"3.30.0, March 2021",Open Source,L-GPL,no,2001,2021,Y,N
Mulgara,342.0,342.0,305.0,RDF,0.09,+0.01,-0.26,https://db-engines.com/en/system/Mulgara,,,,2006.0,"2.1.13, January 2012",Open Source,Apache Version 2,no,2006,2012,Y,N
Kyoto Tycoon,343.0,341.0,367.0,Key-value,0.08,-0.01,-0.05,https://db-engines.com/en/system/Kyoto+Tycoon,,,,2009.0,,Open Source,GPL,no,2009,,Y,N
OpenMLDB,344.0,343.0,,"Time Series, Multi-model",0.08,+0.00,,https://db-engines.com/en/system/OpenMLDB,"Time Series DBMS,Relational DBMS",4 Paradigm Inc.,An open-source machine learning database that provides a feature platform for training and inference,2020.0,2024-2 February 2024,Open Source,,no,2020,2024,Y,N
AntDB,345.0,340.0,303.0,Relational,0.08,-0.02,-0.28,https://db-engines.com/en/system/AntDB,,AsiaInfo Technologies Limited,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",,,commercial,,no,,,N,N
TinkerGraph,346.0,344.0,327.0,Graph,0.07,0.00,-0.20,https://db-engines.com/en/system/TinkerGraph,,,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",2009.0,,Open Source,Apache 2.0,no,2009,,Y,N
Bangdb,347.0,353.0,325.0,Multi-model,0.07,+0.01,-0.20,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS","Sachin Sinha, BangDB","Converged and high performance database for device data, events, time series, document and graph",2012.0,"BangDB 2.0, October 2021",Open Source,BSD 3,no,2012,2021,Y,N
Exorbyte,348.0,346.0,333.0,Search engine,0.07,+0.00,-0.19,https://db-engines.com/en/system/Exorbyte,,,,2000.0,,commercial,,no,2000,,N,N
ScaleOut StateServer,349.0,352.0,391.0,Key-value,0.06,+0.01,+0.02,https://db-engines.com/en/system/ScaleOut+StateServer,,,,2005.0,,commercial,,no,2005,,N,N
SiteWhere,350.0,345.0,377.0,Time Series,0.06,-0.01,-0.04,https://db-engines.com/en/system/SiteWhere,,SiteWhere,M2M integration platform for persisting/querying time series data,2010.0,,Open Source,Common Public Attribution License Version 1.0,no,2010,,Y,N
chDB,351.0,354.0,,"Relational, Multi-model",0.06,+0.01,,https://db-engines.com/en/system/chDB,"Relational DBMS,Time Series DBMS",,An embedded SQL OLAP Engine powered by ClickHouse,2023.0,,Open Source,Apache Version 2.0,no,2023,,Y,N
Machbase Neo,352.0,348.0,288.0,Time Series,0.06,+0.00,-0.37,https://db-engines.com/en/system/Machbase+Neo,,Machbase,TimeSeries DBMS for AIoT and BigData,2013.0,"V8.0, August 2023",commercial,free test version available,no,2013,2023,N,N
Warp 10,353.0,349.0,364.0,Time Series,0.06,+0.00,-0.08,https://db-engines.com/en/system/Warp+10,,SenX,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or HBase",2015.0,,Open Source,Apache License 2.0,no,2015,,Y,N
Blueflood,354.0,351.0,355.0,Time Series,0.06,+0.00,-0.11,https://db-engines.com/en/system/Blueflood,,Rackspace,Scalable TimeSeries DBMS based on Cassandra,2013.0,,Open Source,Apache 2.0,no,2013,,Y,N
SenseiDB,355.0,355.0,356.0,Document,0.05,+0.00,-0.12,https://db-engines.com/en/system/SenseiDB,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
Tigris,356.0,358.0,349.0,Multi-model,0.05,+0.00,-0.15,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS","Tigris Data, Inc.","A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure",2022.0,,Open Source,Apache Version 2.0,no,2022,,Y,N
Elliptics,357.0,355.0,272.0,Key-value,0.04,-0.01,-0.49,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no,2009,,Y,N
OushuDB,358.0,359.0,369.0,Relational,0.04,0.00,-0.09,https://db-engines.com/en/system/OushuDB,,Oushu,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",,"4.0.1, August 2020",commercial,,no,,2020,N,N
Transbase,359.0,357.0,310.0,Relational,0.04,-0.01,-0.29,https://db-engines.com/en/system/Transbase,,Transaction Software GmbH,"A resource-optimized, high-performance, universally applicable RDBMS",1987.0,"Transbase 8.3, 2022",commercial,free development license,no,1987,2022,N,N
ArcadeDB,360.0,379.0,341.0,Multi-model,0.03,+0.03,-0.20,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS",Arcade Data,"Fast and scalable multi-model DBMS, originally forked from,OrientDB,but most of the code has been rewritten",2021.0,September 2021,Open Source,Apache Version 2.0,no,2021,2021,Y,N
WakandaDB,361.0,361.0,381.0,Object oriented,0.03,+0.00,-0.05,https://db-engines.com/en/system/WakandaDB,,Wakanda SAS,WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data,2012.0,"2.7.0 (April 29, 2019), April 2019",Open Source,"AGPLv3, extended commercial license available",no,2012,2019,Y,N
JethroData,362.0,363.0,404.0,Relational,0.03,+0.00,+0.02,https://db-engines.com/en/system/JethroData,,JethroData,SQL Query Engine for Hadoop,2013.0,,commercial,,no,2013,,N,N
NosDB,362.0,360.0,373.0,Document,0.03,-0.01,-0.08,https://db-engines.com/en/system/NosDB,,Alachisoft,"Scalable JSON based,document store,for .NET",2016.0,,Open Source,Professional and Enterprise Versions available,no,2016,,Y,N
STSdb,362.0,363.0,308.0,Key-value,0.03,+0.00,-0.30,https://db-engines.com/en/system/STSdb,,STS Soft SC,Key-Value Store with special method for indexing,2011.0,"4.0.8, September 2015",Open Source,"GPLv2, commercial license available",no,2011,2015,Y,N
JaguarDB,365.0,380.0,380.0,Multi-model,0.03,+0.02,-0.06,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS","DataJaguar, Inc.","Performant, highly scalable DBMS for AI and IoT applications",2015.0,3.3 July 2023,Open Source,GPL V3.0,no,2015,2023,Y,N
Transwarp KunDB,366.0,374.0,342.0,Relational,0.02,+0.01,-0.20,https://db-engines.com/en/system/Transwarp+KunDB,,Transwarp,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",,,commercial,,no,,,N,N
Transwarp ArgoDB,367.0,362.0,378.0,"Relational, Multi-model",0.02,0.00,-0.07,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine",Transwarp,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,,,commercial,,no,,,N,N
Heroic,368.0,365.0,249.0,Time Series,0.02,+0.00,-0.71,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on Cassandra or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
Faircom EDGE,369.0,366.0,388.0,Multi-model,0.02,+0.00,-0.04,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS",FairCom Corporation,"FairCom EDGE is an Industry 4.0 solution built to integrate, collect, aggregate and synchronize mission-critical data in edge computing environments",1979.0,"V3, October 2020",commercial,"Restricted, free version available",no,1979,2020,N,N
SmallSQL,370.0,367.0,400.0,Relational,0.02,+0.00,+0.00,https://db-engines.com/en/system/SmallSQL,,,,2005.0,,Open Source,L-GPL,no,2005,,Y,N
SparkleDB,371.0,368.0,402.0,RDF,0.02,+0.00,+0.00,https://db-engines.com/en/system/SparkleDB,,,,2012.0,,commercial,,no,2012,,N,N
gStore,372.0,370.0,368.0,Multi-model,0.02,+0.00,-0.11,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store",,"A native,Graph DBMS,to store and maintain very large RDF datasets.",2016.0,"1.2, November 2023",Open Source,BSD,no,2016,2023,Y,N
Resin Cache,373.0,369.0,403.0,Key-value,0.02,0.00,+0.00,https://db-engines.com/en/system/Resin+Cache,,,Distributed cache as part of an application server,1998.0,"4.0.66, December 2021",Open Source,"GPLv3, extended commercial license available",no,1998,2021,Y,N
Acebase,374.0,372.0,375.0,Document,0.01,+0.00,-0.09,https://db-engines.com/en/system/Acebase,,,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",2018.0,,Open Source,MIT License,no,2018,,Y,N
SWC-DB,375.0,375.0,393.0,"Wide column, Multi-model",0.01,+0.00,-0.04,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS",Alex Kashirin,"A high performance, scalable,Wide Column DBMS",2020.0,"0.5, April 2021",Open Source,GPL V3,no,2020,2021,Y,N
Kuzu,376.0,381.0,,Graph,0.01,+0.00,,https://db-engines.com/en/system/Kuzu,,,"An embeddable property,Graph DBMS,built for query speed and scalability",2022.0,"0.4.2, May 2024",Open Source,MIT license,no,2022,2024,Y,N
Dydra,377.0,377.0,326.0,RDF,0.01,+0.00,-0.26,https://db-engines.com/en/system/Dydra,,,,2010.0,,commercial,,no,2010,,N,N
Eloquera,377.0,377.0,352.0,Object oriented,0.01,+0.00,-0.17,https://db-engines.com/en/system/Eloquera,,,,2008.0,6.3.3; January 2014,commercial,free licenses,no,2008,2014,N,N
ReductStore,379.0,388.0,,Time Series,0.01,+0.01,,https://db-engines.com/en/system/ReductStore,,ReductStore LLC,"Designed to manage unstructured time-series data efficiently, providing unique features such as storing time-stamped blobs with labels, customizable data retention policies, and a straightforward FIFO quota system.",2023.0,"1.9, March 2024",Open Source,Business Source License 1.1,no,2023,2024,Y,N
Hawkular Metrics,380.0,373.0,386.0,Time Series,0.0,-0.01,-0.07,https://db-engines.com/en/system/Hawkular+Metrics,,Community supported by Red Hat,Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on Cassandra.,2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
Indica,381.0,382.0,370.0,Search engine,0.0,0.00,-0.12,https://db-engines.com/en/system/Indica,,,Enterprise Search Engine,2014.0,,commercial,parts of it are open source,no,2014,,N,N
Siaqodb,382.0,385.0,362.0,Object oriented,0.0,+0.00,-0.15,https://db-engines.com/en/system/Siaqodb,,,,,,commercial,,no,,,N,N
Sadas Engine,383.0,383.0,385.0,Relational,0.0,0.00,-0.07,https://db-engines.com/en/system/Sadas+Engine,,SADAS s.r.l.,SADAS Engine is a columnar DBMS specifically designed for high performance in data warehouse environments,2006.0,8.0,commercial,free trial version available,no,2006,,N,N
LedisDB,384.0,386.0,394.0,Key-value,0.0,+0.00,-0.05,https://db-engines.com/en/system/LedisDB,,,,2014.0,,Open Source,MIT-License,no,2014,,Y,N
SwayDB,385.0,387.0,395.0,Key-value,0.0,+0.00,-0.04,https://db-engines.com/en/system/SwayDB,,Simer Plaha,"An embeddable, non-blocking, type-safe,key-value store,for single or multiple disks and in-memory storage",2018.0,,Open Source,GNU Affero GPL V3.0,no,2018,,Y,N
ActorDB,386.0,388.0,397.0,Relational,0.0,±0.00,-0.03,https://db-engines.com/en/system/ActorDB,,,"A distributed, consistent,RDBMS",2014.0,,Open Source,Mozilla Public License 2.0,no,2014,,Y,N
BergDB,386.0,388.0,405.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/BergDB,,,BergDB is a Java/.NET in-process time-key-value store.,2013.0,,Open Source,Gnu Affero General Public License (AGPL),no,2013,,Y,N
BrightstarDB,386.0,388.0,371.0,RDF,0.0,±0.00,-0.12,https://db-engines.com/en/system/BrightstarDB,,,,2012.0,,Open Source,,no,2012,,Y,N
Cachelot.io,386.0,388.0,389.0,Key-value,0.0,±0.00,-0.06,https://db-engines.com/en/system/Cachelot.io,,,In-memory caching system,2015.0,,Open Source,Simplified BSD License,no,2015,,Y,N
CortexDB,386.0,388.0,405.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store",,,2014.0,,commercial,,no,2014,,N,N
CovenantSQL,386.0,388.0,405.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,"A decentralized blockchain,relational DBMS,, built with,SQLite",2018.0,,Open Source,,no,2018,,Y,N
DaggerDB,386.0,388.0,405.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,,,Simple olap analytics DBMS built for high performance querying in real time,2014.0,,commercial,,no,2014,,N,N
DataFS,386.0,376.0,384.0,"Object oriented, Multi-model",0.0,-0.01,-0.07,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS",Mobiland AG,All data is stored inside objects which are linked by so-called link attributes. Objects consist of classes which can be extended and de-extended at runtime. Graphs can be defined with a struct.,2018.0,"1.1.263, October 2022",commercial,,no,2018,2022,N,N
Edge Intelligence,386.0,388.0,397.0,Relational,0.0,±0.00,-0.03,https://db-engines.com/en/system/Edge+Intelligence,,Adapdix,A Big Data Analytics Platform,2012.0,,commercial,,no,2012,,N,N
EdgelessDB,386.0,388.0,405.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,Edgeless Systems,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",2021.0,,Open Source,GPL V2,no,2021,,Y,N
Galaxybase,386.0,388.0,383.0,Graph,0.0,±0.00,-0.07,https://db-engines.com/en/system/Galaxybase,,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司","Scalable, ACID-compliant native distributed parallel graph platform",2017.0,"Nov 20, November 2021",commercial,,no,2017,2021,N,N
H2GIS,386.0,388.0,350.0,"Spatial, Multi-model",0.0,±0.00,-0.19,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS",CNRS,"Spatial extension of,H2",2013.0,,Open Source,LGPL 3.0,no,2013,,Y,N
Helium,386.0,388.0,405.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,Levyx Inc.,Cost efficient key-value store,2013.0,,commercial,,no,2013,,N,N
HGraphDB,386.0,388.0,405.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/HGraphDB,,,HGraphDB is a client layer for using HBase as a graph database by implementing the Tinkerpop 3 interfaces,2016.0,,Open Source,Apache 2.0,no,2016,,Y,N
HyperLevelDB,386.0,388.0,353.0,Key-value,0.0,±0.00,-0.18,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no,2010,,Y,N
iBoxDB,386.0,388.0,390.0,Document,0.0,±0.00,-0.05,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no,2013,,Y,N
InfinityDB,386.0,384.0,372.0,Key-value,0.0,0.00,-0.12,https://db-engines.com/en/system/InfinityDB,,Boiler Bay Inc.,"A Java embedded,Key-Value Store,which extends the Java Map interface",2002.0,4.0,commercial,,no,2002,,N,N
JasDB,386.0,388.0,405.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no,2014,,Y,N
K-DB,386.0,388.0,405.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,Inspur Group,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",,,commercial,,no,,,N,N
Linter,386.0,371.0,346.0,"Relational, Multi-model",0.0,-0.01,-0.21,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS",relex.ru,RDBMS for high security requirements,1990.0,,commercial,,no,1990,,N,N
Newts,386.0,388.0,396.0,Time Series,0.0,±0.00,-0.03,https://db-engines.com/en/system/Newts,,OpenNMS Group,Time Series DBMS based on Cassandra,2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
NSDb,386.0,388.0,379.0,Time Series,0.0,±0.00,-0.09,https://db-engines.com/en/system/NSDb,,,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",2017.0,,Open Source,Apache Version 2.0,no,2017,,Y,N
openGemini,386.0,388.0,365.0,Time Series,0.0,±0.00,-0.14,https://db-engines.com/en/system/openGemini,,Huawei and openGemini community,"An open source distributed,Time Series DBMS,with high concurrency, high performance, and high scalability",2022.0,"1.1, July 2023",Open Source,Apache Version 2.0,no,2022,2023,Y,N
OpenTenBase,386.0,388.0,,Relational,0.0,±0.00,,https://db-engines.com/en/system/OpenTenBase,,"OpenAtom Foundation, previously Tencent","An enterprise-level distributed HTAP open source database based on,PostgreSQL",,"2.5, January 2024",Open Source,BSD-3,no,,2024,Y,N
OrigoDB,386.0,388.0,359.0,Multi-model,0.0,±0.00,-0.15,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS",Robert Friberg et al,A fully ACID in-memory object graph database,2009.0,,Open Source,,no,2009,,Y,N
Rizhiyi,386.0,388.0,405.0,"Search engine, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",2014.0,,commercial,,no,2014,,N,N
searchxml,386.0,388.0,405.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine",informationpartners gmbh,DBMS for structured and unstructured content wrapped with an application server,2015.0,1.0,commercial,,no,2015,,N,N
SiriDB,386.0,388.0,376.0,Time Series,0.0,±0.00,-0.10,https://db-engines.com/en/system/SiriDB,,Cesbit,"Open Source,Time Series DBMS",2017.0,,Open Source,MIT License,no,2017,,Y,N
SpaceTime,386.0,388.0,401.0,"Spatial, Multi-model",0.0,±0.00,-0.02,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS",Mireo,SpaceTime is a spatio-temporal DBMS with a focus on performance.,2020.0,,commercial,,no,2020,,N,N
SvectorDB,386.0,388.0,,Vector,0.0,±0.00,,https://db-engines.com/en/system/SvectorDB,,SvectorDB,Serverless cloud-native vector database,2023.0,,commercial,,yes,2023,,N,Y
TerarkDB,386.0,388.0,358.0,Key-value,0.0,±0.00,-0.16,https://db-engines.com/en/system/TerarkDB,,"ByteDance, originally Terark","A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",2016.0,,commercial,restricted open source version available,no,2016,,N,N
Tkrzw,386.0,388.0,392.0,Key-value,0.0,±0.00,-0.05,https://db-engines.com/en/system/Tkrzw,,Mikio Hirabayashi,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",2020.0,"0.9.3, August 2020",Open Source,Apache Version 2.0,no,2020,2020,Y,N
TomP2P,386.0,388.0,360.0,Key-value,0.0,±0.00,-0.15,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,4.4,Open Source,Apache Version 2,no,2004,,Y,N
Transwarp Hippo,386.0,388.0,374.0,Vector,0.0,±0.00,-0.11,https://db-engines.com/en/system/Transwarp+Hippo,,,"Cloud-native distributed,Vector DBMS,that supports storage, retrieval, and management of massive vector-based datasets",2023.0,"1.0, May 2023",commercial,,no,2023,2023,N,N
Transwarp StellarDB,386.0,388.0,382.0,Graph,0.0,±0.00,-0.08,https://db-engines.com/en/system/Transwarp+StellarDB,,Transwarp,A distributed graph DBMS built for enterprise-level graph applications,,,commercial,,no,,,N,N
Upscaledb,386.0,388.0,366.0,Key-value,0.0,±0.00,-0.14,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no,2007,,Y,N
VelocityDB,386.0,388.0,351.0,Multi-model,0.0,±0.00,-0.19,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS",VelocityDB Inc,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),2011.0,7.x,commercial,,no,2011,,N,N
WhiteDB,386.0,388.0,397.0,Document,0.0,±0.00,-0.03,https://db-engines.com/en/system/WhiteDB,,,,2008.0,,Open Source,GPL V3,no,2008,,Y,N
