id,category_label,Multi_model_info,DBMS,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Nov-2022,Rank_Nov-2022,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
71 ,Content,Content stores,Jackrabbit,https://db-engines.com/en/system/Jackrabbit,Y,N,apache/jackrabbit,5.88 ,72 ,apache,jackrabbit,Apache Software Foundation,2006 ,,Y,,N,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
72 ,Document,"Document  store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search  engine,Spatial DBMS",Virtuoso,https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,5.88 ,73 ,openlink,virtuoso-opensource,OpenLink  Software,1998 ,2022 ,Y,"GPLv2, extended  commercial license available",N,0 ,1 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,0 
73 ,Wide column,Wide column store,Microsoft Azure Table Storage,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,5.82 ,74 ,-,-,Microsoft,2012 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
74 ,Wide column,Wide column  store,Accumulo,https://db-engines.com/en/system/Accumulo,Y,,apache/accumulo,5.70 ,75 ,apache,accumulo,,2008 ,2020 ,Y,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
75 ,Key-value,"Key-value store,Wide column store",Google Cloud Bigtable,https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,5.47 ,76 ,-,-,Google,2015 ,,N,,Y,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
76 ,Wide column,"Wide column  store,Key-value store",ScyllaDB,https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,5.33 ,77 ,scylladb,scylla,ScyllaDB,2015 ,2022 ,Y,"Open Source  (AGPL), commercial license available",N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
77 ,Relational,Relational DBMS,SAP SQL Anywhere,https://db-engines.com/en/system/SAP+SQL+Anywhere,N,,-,5.26 ,78 ,-,-,SAP,1992 ,2015 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
78 ,Key-value,Key-value store,Riak KV,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,5.24 ,79 ,basho,riak_kv,Basho  Technologies,2009 ,2015 ,Y,"Apache version  2, commercial enterprise edition",N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
79 ,Document,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB,https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,5.07 ,80 ,arangodb,arangodb,ArangoDB Inc.,2012 ,2022 ,Y,Apache Version 2; Commercial license (Enterprise) available,N,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
80 ,Relational,Relational DBMS,HyperSQL,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,5.00 ,81 ,ryenus,hsqldb,,2001 ,2022 ,Y,based on BSD  license,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
81 ,Multivalue,Multivalue DBMS,Adabas,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,4.78 ,82 ,jrmarino,AdaBase,Software AG,1971 ,,N,,N,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
82 ,Relational,Relational DBMS,SAP IQ,https://db-engines.com/en/system/SAP+IQ,N,,-,4.58 ,83 ,-,-,"SAP, formerly  Sybase",1994 ,2019 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
83 ,Relational,"Relational DBMS,Document store,Key-value store,Spatial  DBMS,Search engine,Time Series DBMS,Wide column store",Trino,https://db-engines.com/en/system/Trino,Y,,trinodb/trino,4.56 ,84 ,trinodb,trino,Trino Software Foundation,2012 ,,Y,Apache Version 2.0,N,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,1 
84 ,Time Series,"Time Series  DBMS,Relational DBMS",TimescaleDB,https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,4.54 ,85 ,timescale,timescaledb,Timescale,2017 ,2022 ,Y,Apache 2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 
85 ,Relational,"Relational DBMS,Document store,Wide column store",YugabyteDB,https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,4.51 ,86 ,yugabyte,yugabyte-db,Yugabyte Inc.,2017 ,2022 ,Y,Apache 2.0,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 
86 ,RDF,RDF store,Apache Jena -  TDB,https://db-engines.com/en/system/Apache+Jena+-+TDB,Y,N,apache/jena,4.49 ,87 ,apache,jena,Apache Software  Foundation,2000 ,2022 ,Y,"Apache License,  Version 2.0",N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
87 ,Key-value,Key-value store,RocksDB,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,4.48 ,88 ,facebook,rocksdb,"Facebook, Inc.",2013 ,2022 ,Y,BSD,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
88 ,Document,"Document  store,Graph DBMS,Key-value store",OrientDB,https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,4.48 ,89 ,orientechnologies,orientdb,OrientDB LTD;  CallidusCloud; SAP,2010 ,2021 ,Y,Apache version  2,N,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
89 ,Document,Document store,IBM Cloudant,https://db-engines.com/en/system/IBM+Cloudant,N,,-,4.41 ,90 ,-,-,"IBM, Apache Software Foundation",2010 ,,N,,Y,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
90 ,Relational,Relational DBMS,Google Cloud  Spanner,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,4.40 ,91 ,-,-,Google,2017 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
91 ,Key-value,Key-value store,GemFire,https://db-engines.com/en/system/GemFire,N,Y,-,4.35 ,92 ,-,-,"VMware, Inc",,,N,,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
92 ,Multivalue,Multivalue DBMS,"UniData,UniVerse",https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,4.32 ,93 ,-,-,Rocket Software,1985 ,,N,,N,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
93 ,Relational,Relational DBMS,OpenEdge,https://db-engines.com/en/system/OpenEdge,N,,-,4.28 ,94 ,-,-,Progress Software Corporation,1984 ,2020 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
94 ,Document,"Document  store,Graph DBMS,Spatial DBMS,Time Series DBMS",RavenDB,https://db-engines.com/en/system/RavenDB,Y,,ravendb/ravendb,4.25 ,95 ,ravendb,ravendb,Hibernating  Rhinos,2010 ,2022 ,Y,"AGPL version 3,  commercial license available",N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 
95 ,Document,"Document store,Key-value store,Relational DBMS",Oracle NoSQL,https://db-engines.com/en/system/Oracle+NoSQL,Y,N,oracle/nosql-go-sdk,3.97 ,96 ,oracle,nosql-go-sdk,Oracle,2011 ,2022 ,Y,"Proprietary for Enterprise Edition (Oracle Database EE  license has Oracle NoSQL database EE covered:,details,)",N,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
96 ,Key-value,Key-value store,LevelDB,https://db-engines.com/en/system/LevelDB,Y,,google/leveldb,3.65 ,97 ,google,leveldb,Google,2011 ,2021 ,Y,BSD,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
97 ,Document,"Document store,Spatial DBMS",RethinkDB,https://db-engines.com/en/system/RethinkDB,Y,,rethinkdb/rethinkdb,3.58 ,98 ,rethinkdb,rethinkdb,The Linux Foundation,2009 ,2020 ,Y,Apache Version 2,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
98 ,Key-value,Key-value store,Infinispan,https://db-engines.com/en/system/Infinispan,Y,,infinispan/infinispan,3.56 ,99 ,infinispan,infinispan,,2009 ,2021 ,Y,Apache Version  2,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
99 ,Document,Document store,PouchDB,https://db-engines.com/en/system/PouchDB,Y,N,pouchdb/pouchdb,3.48 ,100 ,pouchdb,pouchdb,Apache Software Foundation,2012 ,2019 ,Y,,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
100 ,Relational,Relational DBMS,MaxDB,https://db-engines.com/en/system/MaxDB,N,,-,3.46 ,101 ,-,-,"SAP, acquired  from Software AG (Adabas-D) in 1997",1984 ,2020 ,N,Limited  community edition free,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
101 ,Relational,"Relational DBMS,Document store",TiDB,https://db-engines.com/en/system/TiDB,Y,Y,pingcap/tidb,3.44 ,102 ,pingcap,tidb,"PingCAP, Inc.",2016 ,2022 ,Y,Apache 2.0,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
102 ,Key-value,"Key-value  store,Native XML DBMS",Oracle Berkeley  DB,https://db-engines.com/en/system/Oracle+Berkeley+DB,Y,,berkeleydb/libdb,3.25 ,103 ,berkeleydb,libdb,Oracle,1994 ,2020 ,Y,commercial  license available,N,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
103 ,Document,"Document store,Relational DBMS",Apache Drill,https://db-engines.com/en/system/Apache+Drill,Y,N,apache/drill,3.21 ,104 ,apache,drill,Apache Software Foundation,2012 ,2022 ,Y,Apache Version 2,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
104 ,Relational,Relational DBMS,Percona Server  for MySQL,https://db-engines.com/en/system/Percona+Server+for+MySQL,Y_replacementfor_MySQL,N,percona/percona-server,3.19 ,105 ,percona,percona-server,Percona,2008 ,2022 ,Y,GPL version 2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
105 ,Relational,Relational DBMS,Apache Phoenix,https://db-engines.com/en/system/Apache+Phoenix,Y,N,apache/phoenix,3.10 ,106 ,apache,phoenix,Apache Software Foundation,2014 ,2019 ,Y,Apache Version 2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
106 ,Document,"Document  store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems  IRIS,https://db-engines.com/en/system/InterSystems+IRIS,N,,-,3.04 ,107 ,-,-,InterSystems,2018 ,2021 ,N,,N,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
107 ,Relational,"Relational DBMS,Document store",Citus,https://db-engines.com/en/system/Citus,Y,,citusdata/citus,3.02 ,108 ,citusdata,citus,,2010 ,2018 ,Y,"AGPL, commercial license also available",N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
108 ,Relational,Relational DBMS,SAP Advantage  Database Server,https://db-engines.com/en/system/SAP+Advantage+Database+Server,N,,-,2.98 ,109 ,-,-,"Sybase, SAP",1993 ,,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
109 ,Navigational,Navigational DBMS,IMS,https://db-engines.com/en/system/IMS,N,,-,2.91 ,110 ,-,-,IBM,1966 ,2017 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
110 ,Key-value,"Key-value  store,Object oriented DBMS,Relational DBMS,Document store",InterSystems  Caché,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,N,,-,2.83 ,111 ,-,-,InterSystems,1997 ,2020 ,N,,N,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
111 ,Graph,"Graph DBMS,RDF store",Amazon Neptune,https://db-engines.com/en/system/Amazon+Neptune,N,,-,2.81 ,112 ,-,-,Amazon,2017 ,,N,,Y,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
112 ,Time Series,"Time Series  DBMS,Relational DBMS",DolphinDB,https://db-engines.com/en/system/DolphinDB,N,,-,2.81 ,113 ,-,-,"DolphinDB, Inc",2018 ,2022 ,N,free community  version available,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 
113 ,Document,Document store,CloudKit,https://db-engines.com/en/system/CloudKit,Y,,jcrosby/cloudkit,2.80 ,114 ,jcrosby,cloudkit,,2016 ,,N,,Y,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
114 ,Relational,"Relational  DBMS,Document store,Spatial DBMS",EDB Postgres,https://db-engines.com/en/system/EDB+Postgres,N,,-,2.76 ,115 ,-,-,EnterpriseDB,2005 ,2021 ,N,BSD for  PostgreSQL-components,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
115 ,Time Series,Time Series DBMS,RRDtool,https://db-engines.com/en/system/RRDtool,Y,,oetiker/rrdtool-1.x,2.71 ,116 ,oetiker,rrdtool-1.x,Tobias Oetiker,1999 ,2022 ,Y,GPL V2 and FLOSS,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
116 ,Relational,Relational DBMS,EXASOL,https://db-engines.com/en/system/EXASOL,N,,-,2.70 ,117 ,-,-,Exasol,2000 ,,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
117 ,Relational,Relational DBMS,4D,https://db-engines.com/en/system/4D,N,,-,2.66 ,118 ,-,-,"4D, Inc",1984 ,2021 ,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
118 ,Graph,Graph DBMS,JanusGraph,https://db-engines.com/en/system/JanusGraph,Y,,JanusGraph/janusgraph,2.64 ,119 ,JanusGraph,janusgraph,"Linux  Foundation; originally developed as,Titan,by Aurelius",2017 ,2022 ,Y,Apache 2.0,N,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
119 ,Key-value,Key-value store,Oracle Coherence,https://db-engines.com/en/system/Oracle+Coherence,Y_CommunityEdition,,oracle/coherence,2.61 ,120 ,oracle,coherence,Oracle,2007 ,2016 ,N,,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
120 ,Time Series,Time Series  DBMS,OpenTSDB,https://db-engines.com/en/system/OpenTSDB,Y,,OpenTSDB/opentsdb,2.57 ,121 ,OpenTSDB,opentsdb,currently  maintained by Yahoo and other contributors,2011 ,,Y,LGPL,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
121 ,Key-value,Key-value store,LMDB,https://db-engines.com/en/system/LMDB,Y,,LMDB/lmdb,2.57 ,122 ,LMDB,lmdb,Symas,2011 ,,Y,,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
122 ,Search engine,Search engine,Amazon  CloudSearch,https://db-engines.com/en/system/Amazon+CloudSearch,N,,-,2.54 ,123 ,-,-,Amazon,2012 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
123 ,Graph,"Graph DBMS,RDF store",GraphDB,https://db-engines.com/en/system/GraphDB,N,,-,2.53 ,124 ,-,-,Ontotext,2000 ,,N,Some plugins of GraphDB Workbench are open sourced,N,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
124 ,Key-value,Key-value store,Amazon SimpleDB,https://db-engines.com/en/system/Amazon+SimpleDB,N,,-,2.48 ,125 ,-,-,Amazon,2007 ,,N,,Y,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
125 ,Relational,"Relational DBMS,Spatial DBMS",HEAVY.AI,https://db-engines.com/en/system/HEAVY.AI,Y,Y,heavyai/heavydb,2.42 ,126 ,heavyai,heavydb,"HEAVY.AI, Inc.",2016 ,,Y,Apache Version 2; enterprise edition available,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
126 ,Relational,Relational DBMS,VoltDB,https://db-engines.com/en/system/VoltDB,Y,Y,VoltDB/voltdb,2.40 ,127 ,VoltDB,voltdb,VoltDB Inc.,2010 ,,Y,"AGPL for  Community Edition, commercial license for Enterprise, AWS, and Pro Editions",N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
127 ,Key-value,Key-value store,Geode,https://db-engines.com/en/system/Geode,Y,,apache/geode,2.35 ,128 ,apache,geode,Originally developed by Gemstone. They outsourced the  project to Apache in 2015 but still deliver a commercial version as Gemfire.,2002 ,,Y,Apache Version 2; commercial licenses available as Gemfire,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
128 ,Relational,"Relational  DBMS,Time Series DBMS",Apache Druid,https://db-engines.com/en/system/Apache+Druid,Y,N,apache/druid,2.32 ,129 ,apache,druid,Apache Software  Foundation and contributors,2012 ,,Y,Apache license  v2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 
129 ,Key-value,"Key-value store,Relational DBMS",GridGain,https://db-engines.com/en/system/GridGain,Y_CommunityEdition,,gridgain/gridgain,2.32 ,130 ,gridgain,gridgain,"GridGain Systems, Inc.",2007 ,,N,,N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
130 ,Search engine,Search engine,Coveo,https://db-engines.com/en/system/Coveo,N,,-,2.26 ,131 ,-,-,Coveo,2012 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
131 ,Spatial DBMS,"Spatial DBMS,Relational DBMS",SpatiaLite,https://db-engines.com/en/system/SpatiaLite,Y,,illarionov/SpatiaLite,2.23 ,132 ,illarionov,SpatiaLite,Alessandro Furieri,2008 ,,Y,"MPL 1.1, GPL v2.0 or LGPL v2.1",N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
132 ,Graph,Graph DBMS,TigerGraph,https://db-engines.com/en/system/TigerGraph,N,,-,2.20 ,133 ,-,-,,2017 ,,N,,N,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
133 ,Relational,"Relational DBMS,Document store,Spatial DBMS",MonetDB,https://db-engines.com/en/system/MonetDB,Y,,MonetDB/MonetDB,2.17 ,134 ,MonetDB,MonetDB,MonetDB BV,2004 ,,Y,Mozilla Public License 2.0,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
134 ,Relational,Relational DBMS,IBM Db2  warehouse,https://db-engines.com/en/system/IBM+Db2+warehouse,N,,-,2.14 ,135 ,-,-,IBM,2014 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
135 ,Relational,Relational DBMS,Datomic,https://db-engines.com/en/system/Datomic,N,,-,2.10 ,136 ,-,-,Cognitect,2012 ,,N,limited edition free,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
136 ,Time Series,"Time Series  DBMS,Relational DBMS",TDengine,https://db-engines.com/en/system/TDengine,Y,,taosdata/TDengine,2.09 ,137 ,taosdata,TDengine,"TDEngine,  previously Taos Data",2019 ,,Y,"GPL V3, also  commercial editions available",N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 
137 ,Relational,Relational DBMS,Tibero,https://db-engines.com/en/system/Tibero,N,,-,2.08 ,138 ,-,-,TmaxSoft,2003 ,,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
138 ,Time Series,"Time Series  DBMS,Key-value store,Relational DBMS",GridDB,https://db-engines.com/en/system/GridDB,Y,,griddb/griddb,2.05 ,139 ,griddb,griddb,Toshiba  Corporation,2013 ,,Y,"AGPL version 3  and Apache License, version 2.0 , commercial license (standard and advanced  editions) also available",N,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 
139 ,Relational,Relational DBMS,TimesTen,https://db-engines.com/en/system/TimesTen,N,,-,2.02 ,140 ,-,-,"Oracle, TimesTen Performance Software, HP",1998 ,,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
140 ,Document,Document store,Amazon  DocumentDB,https://db-engines.com/en/system/Amazon+DocumentDB,N,,-,2.00 ,141 ,-,-,,2019 ,,N,,Y,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
141 ,Object oriented,Object oriented DBMS,Db4o,https://db-engines.com/en/system/Db4o,Y,,iboxdb/db4o-gpl,1.96 ,142 ,iboxdb,db4o-gpl,,2001 ,,Y,commercial license available for existing customers only,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
142 ,Native XML,Native XML DBMS,BaseX,https://db-engines.com/en/system/BaseX,Y,,BaseXdb/basex,1.92 ,143 ,BaseXdb,basex,BaseX GmbH,2007 ,,Y,BSD license,N,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
143 ,Time Series,"Time Series DBMS,Relational DBMS",QuestDB,https://db-engines.com/en/system/QuestDB,Y,,questdb/questdb,1.90 ,144 ,questdb,questdb,QuestDB Limited,2014 ,,Y,Apache 2.0,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 
144 ,Multivalue,Multivalue DBMS,jBASE,https://db-engines.com/en/system/jBASE,N,,-,1.90 ,145 ,-,-,Zumasys,1991 ,,N,,N,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
145 ,Key-value,"Key-value store,Document store,Relational DBMS,Spatial DBMS",Tarantool,https://db-engines.com/en/system/Tarantool,Y,,tarantool/tarantool,1.88 ,146 ,tarantool,tarantool,VK,2008 ,,Y,BSD,N,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
146 ,Object oriented,Object oriented  DBMS,ObjectStore,https://db-engines.com/en/system/ObjectStore,N,,-,1.86 ,147 ,-,-,Ignite  Technologies,1988 ,,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
147 ,Graph,Graph DBMS,Dgraph,https://db-engines.com/en/system/Dgraph,Y,Y,dgraph-io/dgraph,1.80 ,148 ,dgraph-io,dgraph,"Dgraph Labs, Inc.",2016 ,,Y,Apache 2.0,N,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
